            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
------------------------------------------------------------------------------------------------------------------
31-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-DEC-2006     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1
27-DEC-2006    10    3   5   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
26-DEC-2006    74    1   0   1   0   1   8   9  10  13   5   8   4   3   3   1   0   2   0   1   0   1   3   0   0
25-DEC-2006    19    7   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   3   3
24-DEC-2006   101    0   0   0   0   0   0   0   0   0   8   4   3   0   0   0   1   5   7  10  30  15   4   6   8
23-DEC-2006    56    6  11  13   6  12   0   0   0   0   3   0   0   0   2   2   0   0   0   0   0   1   0   0   0
22-DEC-2006     3    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   3
21-DEC-2006    20    6   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   6   4   0   0
20-DEC-2006    41    0   0   0   0   0   0   0   0   0   0   0   2   3   3   1   1   0   0   1   0   1   5  11  13
19-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
18-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
17-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-DEC-2006     1    0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
15-DEC-2006    29    4   2   5   2   5   3   1   0   1   0   0   0   0   4   2   0   0   0   0   0   0   0   0   0
14-DEC-2006   162    0   0   1   1   1   6  16  11  11  13   7   5   8   7   0   5   9  42  13   1   0   1   3   1
13-DEC-2006    24   13   9   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
12-DEC-2006    56    0   0   1   7   1   4   0   0   0   1   0   0   0   0   0   0   0   0   2   6   6   8  15   5
11-DEC-2006    65    4   0   0   0   1   0   5  11   2   5   1   8  16   1   0   0   0   0   0   1   1   9   0   0
10-DEC-2006     8    0   0   0   0   0   0   0   0   1   3   0   0   0   0   2   0   0   0   0   0   0   0   1   1
09-DEC-2006    21    0   0   0   1   2   1   8   9   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
08-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
07-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
05-DEC-2006     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
